first_name,last_name,email,date
John,Doe,john-doe@bogusemail.com,2024-05-12
Mary,Smith-Robinson,maryjacobs@bogusemail.com,2023-11-08
Dave,Smith,davesmith@bogusemail.com,2024-01-20
Tom,Wright,tomwright@bogusemail.com,2023-09-30
Steve,Robinson,steverobinson@bogusemail.com,2024-02-14
Nicole,Jacobs,nicolejacobs@bogusemail.com,2024-03-22
Jane,Wright,janewright@bogusemail.com,2023-12-05
Kurt,Wright,kurtwright@bogusemail.com,2024-04-10
Kurt,Robinson,kurtrobinson@bogusemail.com,2023-10-25
Jane,Jenkins,janejenkins@bogusemail.com,2024-05-01
Neil,Robinson,neilrobinson@bogusemail.com,2024-07-14
Tom,Patterson,tompatterson@bogusemail.com,2024-03-08
Steve,Stuart,stevestuart@bogusemail.com,2023-08-19
Maggie,Patterson,maggiepatterson@bogusemail.com,2024-01-11
Maggie,Stuart,maggiestuart@bogusemail.com,2024-02-28
